Num episodes,Cumulative rewards
1270,"[0, 0, 0, 1000, 0, 0, 0, 0, 1000, 0]"
1280,"[1000, 0, 0, 0, 0, 0, 0, 0, 0, 1000]"
1290,"[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]"
1300,"[0, 0, 1000, 0, 1000, 0, 0, 0, 1000, 0]"
1310,"[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1320,"[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]"
1330,"[0, 1000, 0, 0, 1000, 1000, 0, 0, 1000, 1000]"
1340,"[0, 1000, 0, 1000, 0, 0, 1000, 1000, 1000, 1000]"
1350,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1360,"[0, 0, 0, 0, 1000, 0, 0, 0, 0, 1000]"
1370,"[1000, 0, 0, 0, 0, 0, 0, 1000, 0, 0]"
1380,"[0, 0, 0, 1000, 0, 0, 0, 1000, 1000, 0]"
1390,"[1000, 0, 0, 0, 0, 1000, 0, 0, 0, 0]"
1400,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1410,"[0, 0, 0, 1000, 0, 0, 0, 0, 1000, 0]"
1420,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]"
1430,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1440,"[1000, 0, 0, 1000, 1000, 0, 0, 0, 1000, 1000]"
1450,"[0, 0, 0, 1000, 0, 0, 1000, 0, 0, 0]"
1460,"[0, 0, 1000, 0, 0, 1000, 0, 0, 0, 1000]"
1470,"[0, 0, 1000, 0, 1000, 0, 1000, 1000, 1000, 1000]"
1480,"[0, 1000, 1000, 0, 1000, 0, 1000, 0, 0, 0]"
1490,"[0, 0, 0, 0, 1000, 0, 1000, 0, 1000, 0]"
1500,"[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]"
1510,"[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]"
1520,"[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1530,"[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1540,"[1000, 0, 0, 0, 0, 0, 0, 1000, 1000, 0]"
1550,"[0, 0, 0, 1000, 0, 0, 1000, 1000, 0, 0]"
1560,"[0, 0, 1000, 1000, 1000, 1000, 0, 0, 1000, 0]"
1570,"[0, 0, 1000, 1000, 0, 0, 0, 1000, 1000, 0]"
1580,"[0, 0, 1000, 0, 1000, 0, 1000, 0, 0, 0]"
1590,"[1000, 0, 1000, 1000, 1000, 1000, 0, 1000, 1000, 1000]"
1600,"[0, 0, 0, 0, 0, 1000, 0, 1000, 0, 1000]"
