Num episodes,Cumulative rewards
1860,"[862.0, 877.0, 878.0, 805.0, 804.0, 806.0, 802.0, 806.0, 879.0, 878.0]"
1870,"[804.0, 872.0, 879.0, 839.0, 804.0, 857.0, 806.0, 805.0, 803.0, 805.0]"
1880,"[876.0, 878.0, 874.0, 805.0, 877.0, 841.0, 873.0, 804.0, 872.0, 803.0]"
1890,"[803.0, 804.0, 843.0, -200.0, 805.0, -200.0, 802.0, 806.0, 805.0, 804.0]"
1900,"[851.0, 804.0, 806.0, 870.0, 806.0, 803.0, 855.0, 804.0, 806.0, 859.0]"
1910,"[873.0, 862.0, 878.0, 806.0, 864.0, 804.0, 806.0, 806.0, 870.0, 861.0]"
1920,"[879.0, 801.0, 806.0, 801.0, 806.0, 863.0, 805.0, 803.0, 805.0, -200.0]"
1930,"[859.0, 878.0, 844.0, 804.0, 805.0, 864.0, 877.0, 878.0, 804.0, 806.0]"
1940,"[870.0, 804.0, 852.0, 804.0, 872.0, 805.0, 805.0, 806.0, 803.0, 805.0]"
1950,"[802.0, 804.0, 806.0, 806.0, 862.0, 871.0, 806.0, 805.0, 805.0, 875.0]"
1960,"[806.0, 805.0, 806.0, 802.0, -200.0, 804.0, 806.0, -200.0, 874.0, 805.0]"
1970,"[874.0, 877.0, 801.0, 806.0, 878.0, 802.0, 855.0, 802.0, 804.0, 812.0]"
1980,"[872.0, 804.0, 877.0, 805.0, 805.0, 809.0, 805.0, 806.0, 873.0, 803.0]"
1990,"[801.0, 801.0, 859.0, 878.0, 804.0, 803.0, 804.0, 870.0, 861.0, 806.0]"
2000,"[878.0, -200.0, 877.0, 878.0, 852.0, 874.0, 805.0, 877.0, 875.0, -200.0]"
2010,"[877.0, 878.0, 804.0, 806.0, 856.0, 877.0, 878.0, 804.0, 865.0, 873.0]"
2020,"[879.0, 873.0, 804.0, 806.0, 806.0, 877.0, 803.0, 805.0, 806.0, 805.0]"
2030,"[872.0, 801.0, 879.0, 873.0, 806.0, 805.0, 873.0, 806.0, 805.0, 803.0]"
2040,"[805.0, 864.0, 803.0, 877.0, 806.0, 877.0, 805.0, 871.0, 878.0, 806.0]"
2050,"[803.0, 801.0, 871.0, 804.0, 805.0, 804.0, 805.0, 806.0, 804.0, 870.0]"
2060,"[804.0, 865.0, 805.0, 876.0, -200.0, 806.0, 878.0, 872.0, -200.0, 805.0]"
2070,"[-200.0, 805.0, 878.0, 805.0, 880.0, 801.0, 804.0, 805.0, 879.0, 853.0]"
2080,"[879.0, -200.0, 878.0, 806.0, 805.0, 870.0, 870.0, 843.0, 872.0, -200.0]"
2090,"[-200.0, -200.0, 801.0, 876.0, 843.0, 801.0, 835.0, 804.0, 873.0, 877.0]"
2100,"[872.0, 877.0, 805.0, 805.0, 804.0, 876.0, 854.0, 806.0, 805.0, 803.0]"
2110,"[871.0, 879.0, 812.0, 805.0, 863.0, 806.0, 838.0, 801.0, 878.0, 870.0]"
2120,"[805.0, 845.0, 801.0, -200.0, 876.0, 802.0, 804.0, 804.0, 804.0, 805.0]"
2130,"[802.0, 805.0, 880.0, 862.0, 802.0, 804.0, 864.0, 879.0, 878.0, -200.0]"
2140,"[878.0, 805.0, 878.0, 878.0, 806.0, 872.0, 811.0, 802.0, 805.0, 877.0]"
2150,"[877.0, 877.0, 878.0, 804.0, 880.0, -200.0, 805.0, 878.0, 871.0, 878.0]"
2160,"[871.0, 842.0, 806.0, 806.0, 862.0, 879.0, 804.0, 805.0, 877.0, 805.0]"
2170,"[878.0, 872.0, 805.0, -200.0, -200.0, 804.0, 806.0, 803.0, 804.0, 802.0]"
2180,"[803.0, 805.0, 874.0, 806.0, 871.0, 878.0, -200.0, 806.0, -200.0, 803.0]"
2190,"[805.0, -200.0, 878.0, 803.0, 805.0, 806.0, 874.0, -200.0, 813.0, 803.0]"
2200,"[-200.0, 805.0, -200.0, 878.0, 870.0, 806.0, 801.0, 879.0, 806.0, 804.0]"
2210,"[803.0, -200.0, 812.0, 804.0, 804.0, 851.0, 879.0, 806.0, 878.0, 804.0]"
2220,"[805.0, -200.0, 804.0, 879.0, 805.0, 875.0, -200.0, 876.0, 804.0, 806.0]"
2230,"[873.0, 805.0, 804.0, 806.0, 802.0, 804.0, 805.0, 805.0, -200.0, 805.0]"
2240,"[878.0, 804.0, 803.0, 801.0, 871.0, 870.0, 804.0, 805.0, 877.0, 877.0]"
2250,"[805.0, 806.0, 801.0, 804.0, 806.0, 877.0, 874.0, 804.0, 877.0, 872.0]"
2260,"[805.0, 806.0, 804.0, 873.0, 805.0, 810.0, 872.0, 805.0, 877.0, 879.0]"
2270,"[806.0, 873.0, 805.0, 802.0, -200.0, 804.0, 803.0, 863.0, 805.0, 801.0]"
2280,"[-200.0, 806.0, 863.0, 864.0, 874.0, -200.0, 804.0, 803.0, 806.0, 803.0]"
2290,"[804.0, 875.0, 853.0, 804.0, 805.0, 806.0, 806.0, 804.0, -200.0, 877.0]"
2300,"[864.0, 876.0, 806.0, 879.0, 806.0, 806.0, 804.0, 801.0, 805.0, 806.0]"
2310,"[875.0, -200.0, 803.0, 804.0, 811.0, 805.0, 806.0, 802.0, 806.0, 806.0]"
2320,"[-200.0, 805.0, 805.0, 804.0, -200.0, 872.0, 803.0, 803.0, 805.0, 875.0]"
2330,"[874.0, 806.0, 806.0, 863.0, 806.0, 878.0, -200.0, -200.0, 801.0, 803.0]"
